번호,식당(ID),식당명,지역명,식당이미지(URL),식당상태
7722,485836,전주부븸온,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/657529_814496747.jpg,운영중
7723,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_2041439211.jpg,운영중
7724,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_31882705.jpg,운영중
7725,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_581906156.jpg,운영중
7726,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_1222418291.jpg,운영중
7727,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_1673290156.jpg,운영중
7728,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_79796230.jpg,운영중
7729,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_60706944.jpg,운영중
7730,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_1343351389.jpg,운영중
7731,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_455465612.jpg,운영중
7732,563151,교동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/508002_566975491.jpg,운영중
7733,581006,신뱅이,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/353324_607236744.jpg,운영중
7734,581006,신뱅이,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/353324_655631779.jpg,운영중
7735,581006,신뱅이,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/353324_832473954.jpg,운영중
7736,581006,신뱅이,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/353324_403683580.jpg,운영중
7737,581006,신뱅이,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/353324_1010736158.jpg,운영중
10001,1606,피자애 송천점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/1606_1008228996.jpg,미확인
10002,1606,피자애 송천점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/1606_1925958658.jpg,미확인
10010,2999,비공식,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/2999_1724695793.jpg,미확인
10017,4465,엘디아,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/4465_201308865.jpg,폐업
10020,5127,별란통갈비 앤 치킨,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/5127_62791997.jpg,미확인
10047,8381,안티코,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/8381_1900600119.jpg,운영중
10048,8381,안티코,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/8381_938240190.jpg,운영중
10061,9727,더플라잉팬,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/9727_1186380109.jpg,미확인
10062,9983,참치라이더 전주도청점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/9983_885115839.jpg,폐업
10063,9983,참치라이더 전주도청점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/9983_1872822344.jpg,폐업
10067,10433,"또와, 롱",전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/10433_914107275.jpg,운영중
10068,10433,"또와, 롱",전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/10433_1810734288.jpg,운영중
10076,10583,커피꽃,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/10583_1008892424.jpg,운영중
10077,10583,커피꽃,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/10583_245141789.jpg,운영중
10087,11831,자연애,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/11831_179735994.jpg,미확인
10104,12985,세븐테라스,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/12985_1653878936.jpg,운영중
10123,14420,수쿠수쿠샤브와족발,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/14420_1806861951.jpg,폐업
10168,19674,익소,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/19674_290223279.jpg,폐업
10179,21162,미스터면장 전주점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/21162_630453752.jpg,운영중
10184,22506,평규술집전북대점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/22506_1597884915.jpg,운영중
10185,22506,평규술집전북대점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/22506_1243520232.jpg,운영중
10197,24075,본죽&비빔밥cafe 전북대점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/24075_1772755374.jpg,미확인
10198,24075,본죽&비빔밥cafe 전북대점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/24075_2119335268.jpg,미확인
10203,25230,어쭈구리왕문어,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/25230_338050459.jpg,운영중
10226,28267,디에떼에스프레소 전주송천2호점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/28267_2016997552.jpg,미확인
10227,28267,디에떼에스프레소 전주송천2호점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/28267_1147352033.jpg,미확인
10231,28690,미미마라,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/28690_1833323470.jpg,미확인
10233,28775,수타5900,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/28775_1252466767.jpg,운영중
10240,28981,꺼구리시장통닭 효자점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/28981_813310721.jpg,운영중
10241,28981,꺼구리시장통닭 효자점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/28981_696213546.jpg,운영중
10255,30114,땡초김밥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/30114_1357300782.jpg,운영중
10256,30114,땡초김밥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/30114_1610384980.jpg,운영중
10290,31722,삼삼가맥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/31722_757581196.jpg,운영중
10292,32004,보리 먹은 한우,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/32004_23870661.jpg,미확인
10293,32004,보리 먹은 한우,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/32004_1066711489.jpg,미확인
10302,32799,카페플리츠,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/32799_995581069.jpg,미확인
10315,34218,그린가맥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/34218_455679371.jpg,미확인
